Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE

original	0.9	0.2459	0.6509	0.0641	0.0045	0.7719	0.3963	0.5237	0.6511	0.5277	0.0069	0.0005	0.6462	0.0007	0.0	0.5881	0.0006	0.0
original	0.8	0.2587	0.6339	0.0597	0.0042	0.7508	0.3537	0.4809	0.6351	0.5269	0.0101	0.0007	0.6469	0.001	0.0	0.5889	0.0009	0.0
original	0.35	0.3607	0.5418	0.0452	0.0032	0.5828	0.2017	0.2997	0.5333	0.5295	0.0269	0.0019	0.6455	0.003	0.0	0.5805	0.0033	0.0
original	0.7	0.2759	0.613	0.0531	0.0038	0.7531	0.2959	0.4249	0.6142	0.5269	0.0121	0.0009	0.6463	0.0014	0.0	0.5884	0.0014	0.0
original	0.6	0.2942	0.5953	0.0589	0.0042	0.7372	0.2609	0.3854	0.5889	0.5272	0.0159	0.0011	0.6465	0.0016	0.0	0.5876	0.0018	0.0
original	0.5	0.3216	0.5732	0.0562	0.004	0.7126	0.1906	0.3008	0.5631	0.5295	0.0187	0.0013	0.6463	0.0021	0.0	0.5832	0.0023	0.0
original	0.45	0.3295	0.5682	0.0561	0.004	0.6811	0.2086	0.3194	0.5557	0.5275	0.0213	0.0015	0.6465	0.0023	0.0	0.5854	0.0026	0.0
original	0.4	0.337	0.557	0.0561	0.004	0.6364	0.2581	0.3673	0.5473	0.5233	0.0255	0.0018	0.6376	0.0026	0.0	0.5868	0.003	0.0
original	0.3	0.3801	0.5322	0.0371	0.0026	0.5541	0.1763	0.2674	0.5265	0.5327	0.0296	0.0021	0.649	0.0033	0.0	0.5755	0.0039	0.0
original	0.25	0.3822	0.5264	0.0395	0.0028	0.5296	0.2607	0.3494	0.5263	0.5269	0.0335	0.0024	0.6398	0.0044	0.0	0.583	0.0042	0.0
original	0.2	0.3995	0.5167	0.0338	0.0024	0.4904	0.2658	0.3448	0.522	0.5279	0.0406	0.0029	0.6398	0.0052	0.0	0.5834	0.005	0.0
original	0.1	0.4193	0.5044	0.0278	0.002	0.3773	0.3559	0.3663	0.5214	0.5306	0.0561	0.004	0.6258	0.0092	0.0	0.571	0.0089	0.0
original	0.05	0.42	0.5007	0.0268	0.0019	0.3378	0.4233	0.3758	0.5178	0.5252	0.0885	0.0063	0.5747	0.0141	0.0	0.5387	0.0138	0.0
