Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE

0perc_0repeat	0.4	0.5506	0.0531	0.0038	0.6374	0.2336	0.3419	0.5372	0.5278	0.0254	0.0018	0.6433	0.0028	0.0	0.4169	0.003	0.0
0perc_0repeat	0.4	0.5456	0.0482	0.0034	0.6465	0.2142	0.3218	0.5333	0.5304	0.0248	0.0018	0.6414	0.0028	0.0	0.4193	0.0027	0.0
0perc_0repeat	0.4	0.5574	0.0555	0.0039	0.6604	0.2197	0.3297	0.5404	0.529	0.0233	0.0016	0.6436	0.003	0.0	0.4163	0.0029	0.0
0perc_0repeat	0.4	0.5515	0.0533	0.0038	0.6384	0.2449	0.354	0.5429	0.5271	0.0264	0.0019	0.6408	0.0027	0.0	0.4127	0.0031	0.0
0perc_0repeat	0.4	0.5577	0.0585	0.0041	0.6446	0.2729	0.3835	0.5439	0.5249	0.0269	0.0019	0.6404	0.0027	0.0	0.4096	0.0031	0.0
0perc_0repeat	0.4	0.5503	0.0563	0.004	0.6387	0.2402	0.3492	0.5361	0.527	0.0276	0.002	0.6429	0.0029	0.0	0.4153	0.0032	0.0
0perc_0repeat	0.4	0.5515	0.0488	0.0035	0.6748	0.2215	0.3336	0.5418	0.529	0.0238	0.0017	0.6424	0.0028	0.0	0.4152	0.0028	0.0
0perc_0repeat	0.4	0.5587	0.0531	0.0038	0.6596	0.2315	0.3427	0.5405	0.5265	0.0227	0.0016	0.6419	0.003	0.0	0.4141	0.0028	0.0
0perc_0repeat	0.4	0.5568	0.0515	0.0036	0.6456	0.2155	0.3231	0.548	0.5269	0.0244	0.0017	0.6468	0.0026	0.0	0.4121	0.0029	0.0
0perc_0repeat	0.4	0.5536	0.0556	0.0039	0.6257	0.2614	0.3688	0.5424	0.5271	0.0263	0.0019	0.6423	0.003	0.0	0.4139	0.0031	0.0
0perc_0repeat	0.4	0.5505	0.0498	0.0035	0.6433	0.2205	0.3285	0.5387	0.5278	0.0246	0.0017	0.6442	0.0029	0.0	0.4148	0.0031	0.0
0perc_0repeat	0.4	0.5546	0.0551	0.0039	0.6332	0.241	0.3491	0.5373	0.5275	0.0256	0.0018	0.645	0.0026	0.0	0.4152	0.0028	0.0
0perc_0repeat	0.4	0.552	0.0497	0.0035	0.6533	0.2075	0.315	0.541	0.527	0.0245	0.0017	0.6468	0.0026	0.0	0.4128	0.0027	0.0
0perc_0repeat	0.4	0.5479	0.049	0.0035	0.6259	0.2201	0.3256	0.5354	0.5299	0.0244	0.0017	0.6492	0.0028	0.0	0.4167	0.0031	0.0
0perc_0repeat	0.4	0.5538	0.0511	0.0036	0.6355	0.202	0.3066	0.5428	0.5323	0.0242	0.0017	0.6454	0.0028	0.0	0.4176	0.0029	0.0
0perc_0repeat	0.4	0.5548	0.0562	0.004	0.6301	0.2155	0.3212	0.5378	0.5284	0.0235	0.0017	0.6444	0.0027	0.0	0.4158	0.0031	0.0
0perc_0repeat	0.4	0.5526	0.0483	0.0034	0.6523	0.2156	0.324	0.5452	0.5261	0.0235	0.0017	0.6449	0.0025	0.0	0.4136	0.003	0.0
0perc_0repeat	0.4	0.5578	0.0537	0.0038	0.641	0.2197	0.3273	0.5432	0.5274	0.0235	0.0017	0.6429	0.0029	0.0	0.4142	0.0027	0.0
0perc_0repeat	0.4	0.5478	0.0492	0.0035	0.641	0.2132	0.32	0.5382	0.5297	0.025	0.0018	0.6451	0.0028	0.0	0.418	0.0029	0.0
0perc_0repeat	0.4	0.5523	0.0503	0.0036	0.6694	0.2102	0.32	0.5442	0.5285	0.024	0.0017	0.6464	0.0029	0.0	0.4165	0.0028	0.0
0perc_0repeat	0.4	0.5592	0.0562	0.004	0.6399	0.2523	0.3619	0.5409	0.5266	0.0242	0.0017	0.6415	0.0029	0.0	0.4132	0.003	0.0
0perc_0repeat	0.4	0.5547	0.0508	0.0036	0.6655	0.2071	0.3159	0.5401	0.5277	0.0242	0.0017	0.6438	0.0027	0.0	0.4162	0.003	0.0
0perc_0repeat	0.4	0.5511	0.0504	0.0036	0.6315	0.1855	0.2867	0.5375	0.5307	0.0252	0.0018	0.6474	0.0025	0.0	0.4192	0.0032	0.0
0perc_0repeat	0.4	0.5568	0.0544	0.0038	0.6518	0.2381	0.3488	0.5384	0.5247	0.0237	0.0017	0.6429	0.0029	0.0	0.4126	0.0027	0.0
0perc_0repeat	0.4	0.5595	0.0556	0.0039	0.6748	0.2488	0.3636	0.5466	0.5263	0.0248	0.0018	0.6392	0.0028	0.0	0.4132	0.0028	0.0
0perc_0repeat	0.4	0.5571	0.0515	0.0036	0.6615	0.2314	0.3428	0.5435	0.5271	0.0226	0.0016	0.6417	0.0026	0.0	0.4137	0.0029	0.0
0perc_0repeat	0.4	0.5487	0.0482	0.0034	0.6367	0.1863	0.2883	0.5374	0.5306	0.0255	0.0018	0.6516	0.0026	0.0	0.4171	0.003	0.0
0perc_0repeat	0.4	0.5549	0.0567	0.004	0.63	0.2479	0.3558	0.5425	0.5277	0.0271	0.0019	0.6467	0.0027	0.0	0.4127	0.0033	0.0
0perc_0repeat	0.4	0.5571	0.0531	0.0038	0.6603	0.2174	0.3271	0.5475	0.5267	0.0247	0.0017	0.6424	0.0027	0.0	0.4135	0.0028	0.0
0perc_0repeat	0.4	0.5521	0.0516	0.0037	0.6487	0.2195	0.3281	0.5414	0.5279	0.0249	0.0018	0.6427	0.0028	0.0	0.4125	0.0027	0.0
0perc_0repeat	0.4	0.5485	0.0495	0.0035	0.6595	0.2187	0.3285	0.5356	0.5305	0.0228	0.0016	0.645	0.0028	0.0	0.4171	0.003	0.0
0perc_0repeat	0.4	0.5598	0.0544	0.0038	0.6385	0.2456	0.3548	0.5473	0.527	0.0241	0.0017	0.6439	0.0027	0.0	0.4114	0.0029	0.0
