Label	trainingSize	SquaredLoss_Mean	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE


0perc_0repeat	0.9	0.0563	0.9348	0.0068	0.0005	0.9311	0.8998	0.9152	0.9343	0.6082	0.0016	0.0001	0.9403	0.0001	0.0	0.897	0.0002	0.0
0perc_0repeat	0.8	0.0587	0.9319	0.0046	0.0003	0.932	0.8915	0.9113	0.9319	0.6085	0.0025	0.0002	0.9404	0.0002	0.0	0.8972	0.0003	0.0
0perc_0repeat	0.7	0.061	0.9293	0.004	0.0003	0.9338	0.8821	0.9072	0.9291	0.6082	0.003	0.0002	0.9407	0.0003	0.0	0.8979	0.0004	0.0
0perc_0repeat	0.6	0.0646	0.9249	0.0038	0.0003	0.9331	0.8705	0.9007	0.9252	0.608	0.0036	0.0003	0.9396	0.0003	0.0	0.8965	0.0005	0.0
0perc_0repeat	0.5	0.0702	0.9185	0.0047	0.0003	0.935	0.8512	0.8912	0.9186	0.6083	0.0052	0.0004	0.9402	0.0004	0.0	0.897	0.0006	0.0
0perc_0repeat	0.45	0.0739	0.9143	0.005	0.0004	0.9363	0.8384	0.8846	0.9145	0.6082	0.0052	0.0004	0.9408	0.0005	0.0	0.8982	0.0007	0.0
0perc_0repeat	0.4	0.0786	0.9091	0.0069	0.0005	0.937	0.8232	0.8764	0.91	0.6075	0.0063	0.0004	0.9402	0.0005	0.0	0.8974	0.0009	0.0
0perc_0repeat	0.35	0.0854	0.9016	0.0077	0.0005	0.9393	0.8012	0.8647	0.9024	0.6088	0.0063	0.0004	0.941	0.0005	0.0	0.8975	0.0008	0.0
0perc_0repeat	0.1	0.2529	0.7284	0.0888	0.0063	0.9324	0.3261	0.4832	0.7472	0.6097	0.0138	0.001	0.94	0.0014	0.0	0.8954	0.0022	0.0
0perc_0repeat	0.3	0.0942	0.8918	0.0111	0.0008	0.9409	0.7729	0.8487	0.8932	0.6087	0.0069	0.0005	0.9383	0.0007	0.0	0.8941	0.001	0.0
0perc_0repeat	0.25	0.107	0.8781	0.0163	0.0012	0.9443	0.733	0.8254	0.8789	0.6094	0.0081	0.0006	0.94	0.0007	0.0	0.896	0.0011	0.0
0perc_0repeat	0.2	0.1258	0.8581	0.0293	0.0021	0.9481	0.6758	0.7891	0.8608	0.6078	0.0095	0.0007	0.9408	0.0009	0.0	0.8979	0.0012	0.0
0perc_0repeat	0.05	0.3305	0.6543	0.0683	0.0048	0.8917	0.1279	0.2237	0.6176	0.6075	0.0195	0.0014	0.9308	0.0023	0.0	0.8779	0.0039	0.0

0perc_0repeat	0.9	0.0563	0.9352	0.0064	0.0009	0.9327	0.9003	0.9162	0.9362	0.6084	0.0014	0.0002	0.9406	0.0003	0.0	0.8973	0.0005	0.0
0perc_0repeat	0.8	0.059	0.9315	0.0045	0.0006	0.9303	0.8921	0.9108	0.9308	0.6084	0.0022	0.0003	0.9402	0.0004	0.0	0.8974	0.0006	0.0
0perc_0repeat	0.7	0.0622	0.9277	0.0042	0.0006	0.9309	0.881	0.9053	0.9281	0.6084	0.0033	0.0005	0.9404	0.0005	0.0	0.8972	0.0007	0.0
0perc_0repeat	0.6	0.0642	0.9252	0.0036	0.0005	0.9347	0.8697	0.9011	0.9244	0.6081	0.004	0.0006	0.9392	0.0007	0.0	0.8955	0.0009	0.0
0perc_0repeat	0.5	0.0707	0.918	0.0041	0.0006	0.9346	0.8502	0.8904	0.9181	0.6079	0.0047	0.0007	0.9407	0.0009	0.0	0.8971	0.0013	0.0
0perc_0repeat	0.45	0.0737	0.9146	0.0046	0.0006	0.9344	0.8408	0.8851	0.914	0.6076	0.0052	0.0007	0.9405	0.001	0.0	0.8986	0.0016	0.0
0perc_0repeat	0.4	0.0774	0.9106	0.0048	0.0007	0.9369	0.8273	0.8787	0.9106	0.6074	0.0057	0.0008	0.9411	0.0009	0.0	0.8984	0.0015	0.0
0perc_0repeat	0.35	0.0837	0.9032	0.0073	0.001	0.937	0.8071	0.8673	0.9049	0.6073	0.0056	0.0008	0.9405	0.0012	0.0	0.898	0.0017	0.0
0perc_0repeat	0.3	0.0923	0.8937	0.011	0.0016	0.9398	0.7789	0.8518	0.8955	0.6078	0.007	0.001	0.94	0.0013	0.0	0.8974	0.0021	0.0
0perc_0repeat	0.1	0.2698	0.7112	0.0877	0.0124	0.9377	0.278	0.4289	0.6785	0.607	0.0136	0.0019	0.9402	0.0025	0.0	0.8925	0.0039	0.0
0perc_0repeat	0.25	0.105	0.8802	0.0149	0.0021	0.942	0.7402	0.829	0.8846	0.6077	0.0079	0.0011	0.9401	0.0016	0.0	0.8982	0.0025	0.0
0perc_0repeat	0.2	0.1305	0.8533	0.0249	0.0035	0.9509	0.6616	0.7803	0.8541	0.6111	0.0081	0.0011	0.9418	0.0016	0.0	0.8975	0.0022	0.0
0perc_0repeat	0.05	0.3293	0.6557	0.068	0.0096	0.8951	0.1343	0.2336	0.6205	0.6137	0.0173	0.0025	0.9322	0.004	0.0	0.8791	0.0084	0.0

